year,site_name,receiving_water,grid_ref,spill_count,spill_duration_hrs
2021,31 FORE STREET CSO,TRIB OF R.DART(E) VIA SW SEWER,SX 8057 6024,36.0,23.23
2021,BUCKFASTLEIGH STW,RIVER DART,SX 7513 6581,112.0,773.8
2021,BUCKFASTLEIGH STW,RIVER DART,SX 7513 6581,107.0,1340.15
2021,OLD WOOLLEN MILL CSO,RIVER DART,SX 7421 6715,10.0,6.77
2021,STAVERTON WWTW,RIVER DART,SX 7963 6363,13.0,47.33
2022,31 FORE STREET CSO,TRIB OF R.DART(E) VIA SW SEWER,SX 8057 6024,38.0,24.03
2022,BUCKFASTLEIGH STW,RIVER DART,SX 7513 6581,103.0,649.65
2022,BUCKFASTLEIGH STW,RIVER DART,SX 7513 6581,82.0,1089.16
2022,OLD WOOLLEN MILL CSO,RIVER DART,SX 7421 6715,7.0,48.68
2022,STAVERTON WWTW,RIVER DART,SX 7963 6363,7.0,57.36
2023,31 FORE STREET CSO,TRIB OF R.DART(E) VIA SW SEWER,SX 8057 6024,45.0,28.96
2023,BUCKFASTLEIGH STW,RIVER DART,SX 7513 6581,137.0,1314.21
2023,BUCKFASTLEIGH STW,RIVER DART,SX 7513 6581,143.0,2248.51
2023,OLD WOOLLEN MILL CSO,RIVER DART,SX 7421 6715,14.0,70.95
2023,STAVERTON WWTW,RIVER DART,SX 7962 6362,21.0,292.36
2024,31 FORE STREET CSO,TRIB OF R.DART(E) VIA SW SEWER,SX80576024,46.0,37.769999999999996
2024,BUCKFASTLEIGH STW,RIVER DART,SX75136581,138.0,2334.08
2024,BUCKFASTLEIGH STW,RIVER DART,SX75136581,126.0,1232.85
2024,OLD WOOLLEN MILL CSO,RIVER DART,SX74216715,11.0,22.9
2024,STAVERTON WWTW,RIVER DART,SX79626362,34.0,365.33
