gauge_name,wiski_id,date,year,rainfall_mm
Holne Priddacott Farm,363710,2021-01-01,2021,0.2
Holne Priddacott Farm,363710,2021-01-02,2021,2.8
Holne Priddacott Farm,363710,2021-01-03,2021,0.0
Holne Priddacott Farm,363710,2021-01-04,2021,0.3
Holne Priddacott Farm,363710,2021-01-05,2021,0.0
Holne Priddacott Farm,363710,2021-01-06,2021,0.0
Holne Priddacott Farm,363710,2021-01-07,2021,0.7
Holne Priddacott Farm,363710,2021-01-08,2021,0.0
Holne Priddacott Farm,363710,2021-01-09,2021,0.0
Holne Priddacott Farm,363710,2021-01-10,2021,1.1
Holne Priddacott Farm,363710,2021-01-11,2021,8.2
Holne Priddacott Farm,363710,2021-01-12,2021,4.6
Holne Priddacott Farm,363710,2021-01-13,2021,4.9
Holne Priddacott Farm,363710,2021-01-14,2021,0.0
Holne Priddacott Farm,363710,2021-01-15,2021,15.9
Holne Priddacott Farm,363710,2021-01-16,2021,0.4
Holne Priddacott Farm,363710,2021-01-17,2021,0.0
Holne Priddacott Farm,363710,2021-01-18,2021,19.6
Holne Priddacott Farm,363710,2021-01-19,2021,73.8
Holne Priddacott Farm,363710,2021-01-20,2021,46.2
Holne Priddacott Farm,363710,2021-01-21,2021,0.8
Holne Priddacott Farm,363710,2021-01-22,2021,2.6
Holne Priddacott Farm,363710,2021-01-23,2021,5.5
Holne Priddacott Farm,363710,2021-01-24,2021,3.8
Holne Priddacott Farm,363710,2021-01-25,2021,3.2
Holne Priddacott Farm,363710,2021-01-26,2021,6.5
Holne Priddacott Farm,363710,2021-01-27,2021,14.5
Holne Priddacott Farm,363710,2021-01-28,2021,28.8
Holne Priddacott Farm,363710,2021-01-29,2021,25.9
Holne Priddacott Farm,363710,2021-01-30,2021,11.1
Holne Priddacott Farm,363710,2021-01-31,2021,17.5
Holne Priddacott Farm,363710,2021-02-01,2021,13.9
Holne Priddacott Farm,363710,2021-02-02,2021,5.6
Holne Priddacott Farm,363710,2021-02-03,2021,3.8
Holne Priddacott Farm,363710,2021-02-04,2021,6.3
Holne Priddacott Farm,363710,2021-02-05,2021,0.8
Holne Priddacott Farm,363710,2021-02-06,2021,0.2
Holne Priddacott Farm,363710,2021-02-07,2021,0.0
Holne Priddacott Farm,363710,2021-02-08,2021,0.0
Holne Priddacott Farm,363710,2021-02-09,2021,0.1
Holne Priddacott Farm,363710,2021-02-10,2021,0.1
Holne Priddacott Farm,363710,2021-02-11,2021,0.0
Holne Priddacott Farm,363710,2021-02-12,2021,0.0
Holne Priddacott Farm,363710,2021-02-13,2021,6.9
Holne Priddacott Farm,363710,2021-02-14,2021,32.7
Holne Priddacott Farm,363710,2021-02-15,2021,17.1
Holne Priddacott Farm,363710,2021-02-16,2021,22.7
Holne Priddacott Farm,363710,2021-02-17,2021,30.8
Holne Priddacott Farm,363710,2021-02-18,2021,5.4
Holne Priddacott Farm,363710,2021-02-19,2021,56.0
Holne Priddacott Farm,363710,2021-02-20,2021,14.0
Holne Priddacott Farm,363710,2021-02-21,2021,4.5
Holne Priddacott Farm,363710,2021-02-22,2021,0.0
Holne Priddacott Farm,363710,2021-02-23,2021,0.5
Holne Priddacott Farm,363710,2021-02-24,2021,3.8
Holne Priddacott Farm,363710,2021-02-25,2021,0.0
Holne Priddacott Farm,363710,2021-02-26,2021,0.0
Holne Priddacott Farm,363710,2021-02-27,2021,0.0
Holne Priddacott Farm,363710,2021-02-28,2021,0.0
Holne Priddacott Farm,363710,2021-03-01,2021,0.0
Holne Priddacott Farm,363710,2021-03-02,2021,0.5
Holne Priddacott Farm,363710,2021-03-03,2021,3.6
Holne Priddacott Farm,363710,2021-03-04,2021,0.4
Holne Priddacott Farm,363710,2021-03-05,2021,0.0
Holne Priddacott Farm,363710,2021-03-06,2021,0.0
Holne Priddacott Farm,363710,2021-03-07,2021,0.0
Holne Priddacott Farm,363710,2021-03-08,2021,0.0
Holne Priddacott Farm,363710,2021-03-09,2021,17.6
Holne Priddacott Farm,363710,2021-03-10,2021,19.8
Holne Priddacott Farm,363710,2021-03-11,2021,10.5
Holne Priddacott Farm,363710,2021-03-12,2021,26.2
Holne Priddacott Farm,363710,2021-03-13,2021,1.8
Holne Priddacott Farm,363710,2021-03-14,2021,0.1
Holne Priddacott Farm,363710,2021-03-15,2021,0.0
Holne Priddacott Farm,363710,2021-03-16,2021,0.0
Holne Priddacott Farm,363710,2021-03-17,2021,0.0
Holne Priddacott Farm,363710,2021-03-18,2021,0.0
Holne Priddacott Farm,363710,2021-03-19,2021,0.0
Holne Priddacott Farm,363710,2021-03-20,2021,0.0
Holne Priddacott Farm,363710,2021-03-21,2021,0.0
Holne Priddacott Farm,363710,2021-03-22,2021,0.0
Holne Priddacott Farm,363710,2021-03-23,2021,0.0
Holne Priddacott Farm,363710,2021-03-24,2021,1.8
Holne Priddacott Farm,363710,2021-03-25,2021,11.9
Holne Priddacott Farm,363710,2021-03-26,2021,2.7
Holne Priddacott Farm,363710,2021-03-27,2021,1.2
Holne Priddacott Farm,363710,2021-03-28,2021,0.5
Holne Priddacott Farm,363710,2021-03-29,2021,0.0
Holne Priddacott Farm,363710,2021-03-30,2021,0.0
Holne Priddacott Farm,363710,2021-03-31,2021,0.0
Holne Priddacott Farm,363710,2021-04-01,2021,0.0
Holne Priddacott Farm,363710,2021-04-02,2021,0.0
Holne Priddacott Farm,363710,2021-04-03,2021,0.0
Holne Priddacott Farm,363710,2021-04-04,2021,0.0
Holne Priddacott Farm,363710,2021-04-05,2021,0.2
Holne Priddacott Farm,363710,2021-04-06,2021,0.6
Holne Priddacott Farm,363710,2021-04-07,2021,0.0
Holne Priddacott Farm,363710,2021-04-08,2021,0.0
Holne Priddacott Farm,363710,2021-04-09,2021,0.0
Holne Priddacott Farm,363710,2021-04-10,2021,0.0
Holne Priddacott Farm,363710,2021-04-11,2021,0.3
Holne Priddacott Farm,363710,2021-04-12,2021,1.5
Holne Priddacott Farm,363710,2021-04-13,2021,0.0
Holne Priddacott Farm,363710,2021-04-14,2021,0.0
Holne Priddacott Farm,363710,2021-04-15,2021,0.0
Holne Priddacott Farm,363710,2021-04-16,2021,0.0
Holne Priddacott Farm,363710,2021-04-17,2021,0.0
Holne Priddacott Farm,363710,2021-04-18,2021,0.0
Holne Priddacott Farm,363710,2021-04-19,2021,0.0
Holne Priddacott Farm,363710,2021-04-20,2021,0.0
Holne Priddacott Farm,363710,2021-04-21,2021,0.0
Holne Priddacott Farm,363710,2021-04-22,2021,0.0
Holne Priddacott Farm,363710,2021-04-23,2021,0.0
Holne Priddacott Farm,363710,2021-04-24,2021,0.0
Holne Priddacott Farm,363710,2021-04-25,2021,0.0
Holne Priddacott Farm,363710,2021-04-26,2021,0.0
Holne Priddacott Farm,363710,2021-04-27,2021,0.5
Holne Priddacott Farm,363710,2021-04-28,2021,0.0
Holne Priddacott Farm,363710,2021-04-29,2021,0.3
Holne Priddacott Farm,363710,2021-04-30,2021,1.6
Holne Priddacott Farm,363710,2021-05-01,2021,6.9
Holne Priddacott Farm,363710,2021-05-02,2021,1.0
Holne Priddacott Farm,363710,2021-05-03,2021,14.5
Holne Priddacott Farm,363710,2021-05-04,2021,1.1
Holne Priddacott Farm,363710,2021-05-05,2021,0.0
Holne Priddacott Farm,363710,2021-05-06,2021,0.0
Holne Priddacott Farm,363710,2021-05-07,2021,29.4
Holne Priddacott Farm,363710,2021-05-08,2021,43.3
Holne Priddacott Farm,363710,2021-05-09,2021,10.4
Holne Priddacott Farm,363710,2021-05-10,2021,0.3
Holne Priddacott Farm,363710,2021-05-11,2021,11.9
Holne Priddacott Farm,363710,2021-05-12,2021,41.8
Holne Priddacott Farm,363710,2021-05-13,2021,2.4
Holne Priddacott Farm,363710,2021-05-14,2021,15.2
Holne Priddacott Farm,363710,2021-05-15,2021,28.9
Holne Priddacott Farm,363710,2021-05-16,2021,12.9
Holne Priddacott Farm,363710,2021-05-17,2021,3.8
Holne Priddacott Farm,363710,2021-05-18,2021,8.6
Holne Priddacott Farm,363710,2021-05-19,2021,2.0
Holne Priddacott Farm,363710,2021-05-20,2021,23.5
Holne Priddacott Farm,363710,2021-05-21,2021,28.7
Holne Priddacott Farm,363710,2021-05-22,2021,0.7
Holne Priddacott Farm,363710,2021-05-23,2021,46.3
Holne Priddacott Farm,363710,2021-05-24,2021,3.5
Holne Priddacott Farm,363710,2021-05-25,2021,9.9
Holne Priddacott Farm,363710,2021-05-26,2021,0.0
Holne Priddacott Farm,363710,2021-05-27,2021,0.0
Holne Priddacott Farm,363710,2021-05-28,2021,0.0
Holne Priddacott Farm,363710,2021-05-29,2021,0.0
Holne Priddacott Farm,363710,2021-05-30,2021,0.0
Holne Priddacott Farm,363710,2021-05-31,2021,0.0
Holne Priddacott Farm,363710,2021-06-01,2021,0.1
Holne Priddacott Farm,363710,2021-06-02,2021,0.5
Holne Priddacott Farm,363710,2021-06-03,2021,0.0
Holne Priddacott Farm,363710,2021-06-04,2021,0.0
Holne Priddacott Farm,363710,2021-06-05,2021,0.9
Holne Priddacott Farm,363710,2021-06-06,2021,0.4
Holne Priddacott Farm,363710,2021-06-07,2021,0.0
Holne Priddacott Farm,363710,2021-06-08,2021,0.0
Holne Priddacott Farm,363710,2021-06-09,2021,0.0
Holne Priddacott Farm,363710,2021-06-10,2021,0.0
Holne Priddacott Farm,363710,2021-06-11,2021,0.0
Holne Priddacott Farm,363710,2021-06-12,2021,0.0
Holne Priddacott Farm,363710,2021-06-13,2021,0.0
Holne Priddacott Farm,363710,2021-06-14,2021,0.0
Holne Priddacott Farm,363710,2021-06-15,2021,0.0
Holne Priddacott Farm,363710,2021-06-16,2021,1.8
Holne Priddacott Farm,363710,2021-06-17,2021,0.0
Holne Priddacott Farm,363710,2021-06-18,2021,0.0
Holne Priddacott Farm,363710,2021-06-19,2021,5.9
Holne Priddacott Farm,363710,2021-06-20,2021,1.6
Holne Priddacott Farm,363710,2021-06-21,2021,6.8
Holne Priddacott Farm,363710,2021-06-22,2021,0.0
Holne Priddacott Farm,363710,2021-06-23,2021,0.7
Holne Priddacott Farm,363710,2021-06-24,2021,1.6
Holne Priddacott Farm,363710,2021-06-25,2021,0.0
Holne Priddacott Farm,363710,2021-06-26,2021,1.6
Holne Priddacott Farm,363710,2021-06-27,2021,79.3
Holne Priddacott Farm,363710,2021-06-28,2021,0.0
Holne Priddacott Farm,363710,2021-06-29,2021,0.0
Holne Priddacott Farm,363710,2021-06-30,2021,0.0
Holne Priddacott Farm,363710,2021-07-01,2021,0.0
Holne Priddacott Farm,363710,2021-07-02,2021,3.0
Holne Priddacott Farm,363710,2021-07-03,2021,24.2
Holne Priddacott Farm,363710,2021-07-04,2021,24.7
Holne Priddacott Farm,363710,2021-07-05,2021,17.6
Holne Priddacott Farm,363710,2021-07-06,2021,1.9
Holne Priddacott Farm,363710,2021-07-07,2021,2.3
Holne Priddacott Farm,363710,2021-07-08,2021,0.0
Holne Priddacott Farm,363710,2021-07-09,2021,11.7
Holne Priddacott Farm,363710,2021-07-10,2021,0.5
Holne Priddacott Farm,363710,2021-07-11,2021,17.5
Holne Priddacott Farm,363710,2021-07-12,2021,1.6
Holne Priddacott Farm,363710,2021-07-13,2021,0.0
Holne Priddacott Farm,363710,2021-07-14,2021,0.0
Holne Priddacott Farm,363710,2021-07-15,2021,0.0
Holne Priddacott Farm,363710,2021-07-16,2021,0.0
Holne Priddacott Farm,363710,2021-07-17,2021,0.0
Holne Priddacott Farm,363710,2021-07-18,2021,0.0
Holne Priddacott Farm,363710,2021-07-19,2021,0.0
Holne Priddacott Farm,363710,2021-07-20,2021,0.0
Holne Priddacott Farm,363710,2021-07-21,2021,
Holne Priddacott Farm,363710,2021-07-22,2021,
Holne Priddacott Farm,363710,2021-07-23,2021,
Holne Priddacott Farm,363710,2021-07-24,2021,
Holne Priddacott Farm,363710,2021-07-25,2021,
Holne Priddacott Farm,363710,2021-07-26,2021,13.2
Holne Priddacott Farm,363710,2021-07-27,2021,2.8
