year,company,region_key,total_spills,monitored_sites,annual_rainfall_mm,spills_per_monitored_site
2021,Anglian Water (AWS),east_anglia,21351.0,834,634.9,25.600719424460433
2021,Northumbrian Water (NW),england_e_and_ne,36483.0,1440,800.2,25.335416666666667
2021,Severn Trent Water (SvT),midlands,59684.0,2412,811.2,24.744610281923716
2021,South West Water (SWW),england_sw_and_s_wales,42484.0,1093,1275.7,38.86916742909423
2021,Southern Water (SW),england_se_and_central_s,19077.41,943,807.1,20.230551431601274
2021,Thames Water (TW),england_se_and_central_s,14713.0,461,807.1,31.91540130151844
2021,United Utilities (UU),england_nw_and_n_wales,81588.0,1954,1399.6,41.75435005117707
2021,Wessex Water (WSSX),england_sw_and_s_wales,23524.0,1048,1275.7,22.446564885496183
2021,Yorkshire Water (YWS),england_e_and_ne,70062.0,2087,800.2,33.57067561092477
2022,Anglian Water (AWS),east_anglia,16082.0,1054,503.1,15.258064516129032
2022,Northumbrian Water (NW),england_e_and_ne,29697.0,1463,706.2,20.2987012987013
2022,Severn Trent Water (SvT),midlands,44765.0,2438,721.5,18.361361771944217
2022,South West Water (SWW),england_sw_and_s_wales,37649.0,1323,1130.9,28.4572940287226
2022,Southern Water (SW),england_se_and_central_s,16688.0,939,751.9,17.77209797657082
2022,Thames Water (TW),england_se_and_central_s,8014.0,472,751.9,16.978813559322035
2022,United Utilities (UU),england_nw_and_n_wales,69245.0,1971,1233.4,35.13191273465246
2022,Wessex Water (WSSX),england_sw_and_s_wales,21878.0,1182,1130.9,18.509306260575297
2022,Yorkshire Water (YWS),england_e_and_ne,54273.0,2118,706.2,25.624645892351275
2023,Anglian Water (AWS),east_anglia,31623.0,1423,775.7,22.22276879831342
2023,Northumbrian Water (NW),england_e_and_ne,46492.0,1546,960.7,30.072445019404917
2023,Severn Trent Water (SvT),midlands,60253.0,2421,999.5,24.887649731515904
2023,South West Water (SWW),england_sw_and_s_wales,58249.0,1342,1534.7,43.40461997019374
2023,Southern Water (SW),england_se_and_central_s,29494.0,962,1022.9,30.659043659043657
2023,Thames Water (TW),england_se_and_central_s,16990.0,610,1022.9,27.852459016393443
2023,United Utilities (UU),england_nw_and_n_wales,97537.0,2147,1606.9,45.4294364229157
2023,Wessex Water (WSSX),england_sw_and_s_wales,41453.0,1295,1534.7,32.01003861003861
2023,Yorkshire Water (YWS),england_e_and_ne,77761.0,2165,960.7,35.917321016166284
2024,Anglian Water (AWS),east_anglia,43919.0,1435,729.2,30.605574912891985
2024,Northumbrian Water (NW),england_e_and_ne,40792.0,1551,877.6,26.300451321727916
2024,Severn Trent Water (SvT),midlands,62085.0,2445,998.2,25.392638036809817
2024,South West Water (SWW),england_sw_and_s_wales,56173.0,1361,1487.1,41.27332843497428
2024,Southern Water (SW),england_se_and_central_s,29355.0,971,998.3,30.231719876416065
2024,Thames Water (TW),england_se_and_central_s,23061.0,585,998.3,39.42051282051282
2024,United Utilities (UU),england_nw_and_n_wales,77817.0,2244,1550.0,34.67780748663102
2024,Wessex Water (WSSX),england_sw_and_s_wales,43931.0,1295,1487.1,33.92355212355212
2024,Yorkshire Water (YWS),england_e_and_ne,68164.0,2171,877.6,31.397512666973746
