catchment_name,year,annual_spill_total,n_sites,annual_spills_per_site,storm_days_10,storm_days_15,storm_days_20
Allen,2021,501.0,3,167.0,40,19,12
Allen,2022,311.0,3,103.66666666666667,32,14,5
Allen,2023,470.0,3,156.66666666666666,57,23,9
Allen,2024,372.0,3,124.0,51,23,13
Dart,2021,407.0,5,81.4,50,36,23
Dart,2022,430.0,5,86.0,47,28,18
Dart,2023,578.0,5,115.6,69,45,27
Dart,2024,585.0,5,117.0,66,48,30
Exe (Barle to Culm),2021,327.0,13,25.153846153846153,36,14,7
Exe (Barle to Culm),2022,211.0,13,16.23076923076923,30,14,6
Exe (Barle to Culm),2023,397.0,13,30.53846153846154,44,25,9
Exe (Barle to Culm),2024,519.0,13,39.92307692307692,39,21,12
Harbourne River,2021,433.0,2,216.5,39,19,10
Harbourne River,2022,362.0,2,181.0,41,26,12
Harbourne River,2023,487.0,2,243.5,64,42,27
Harbourne River,2024,399.0,2,199.5,53,35,22
Lower Axe,2021,459.0,8,57.375,38,23,13
Lower Axe,2022,419.0,8,52.375,32,21,13
Lower Axe,2023,540.0,8,67.5,52,28,19
Lower Axe,2024,520.0,8,65.0,52,31,18
Lower Culm,2021,441.0,12,36.75,29,16,6
Lower Culm,2022,261.0,12,21.75,21,10,6
Lower Culm,2023,567.0,12,47.25,36,16,5
Lower Culm,2024,533.0,12,44.416666666666664,30,17,8
Lower River Inny,2021,624.0,5,124.8,44,24,13
Lower River Inny,2022,531.0,5,106.2,44,26,12
Lower River Inny,2023,570.0,5,114.0,60,34,18
Lower River Inny,2024,476.0,5,95.2,59,39,20
Lower River Lynher,2021,928.0,9,103.11111111111111,44,24,13
Lower River Lynher,2022,549.0,9,61.0,44,26,12
Lower River Lynher,2023,766.0,9,85.11111111111111,60,34,18
Lower River Lynher,2024,448.0,9,49.77777777777778,59,39,20
Lower River Otter,2021,431.0,17,25.352941176470587,48,30,17
Lower River Otter,2022,289.0,17,17.0,32,20,13
Lower River Otter,2023,470.0,17,27.647058823529413,52,29,14
Lower River Otter,2024,519.0,17,30.529411764705884,52,34,18
Lower River Tamar,2021,587.0,10,58.7,44,24,13
Lower River Tamar,2022,499.0,10,49.9,44,26,12
Lower River Tamar,2023,583.0,10,58.3,60,34,18
Lower River Tamar,2024,598.0,10,59.8,59,39,20
Lower River Tavy,2021,425.0,11,38.63636363636363,57,34,21
Lower River Tavy,2022,376.0,11,34.18181818181818,50,29,20
Lower River Tavy,2023,498.0,11,45.27272727272727,77,51,29
Lower River Tavy,2024,536.0,11,48.72727272727273,70,46,29
Meavy,2021,297.0,6,49.5,57,34,21
Meavy,2022,316.0,6,52.666666666666664,50,29,20
Meavy,2023,466.0,6,77.66666666666667,77,51,29
Meavy,2024,530.0,6,88.33333333333333,70,46,29
Seaton,2021,199.0,10,19.9,50,27,17
Seaton,2022,257.0,10,25.7,48,23,9
Seaton,2023,551.0,10,55.1,67,39,18
Seaton,2024,528.0,10,52.8,66,45,27
Spratford Stream,2021,466.0,9,51.77777777777778,44,23,10
Spratford Stream,2022,373.0,9,41.44444444444444,37,21,9
Spratford Stream,2023,511.0,9,56.77777777777778,61,30,13
Spratford Stream,2024,521.0,9,57.888888888888886,48,25,14
Tale,2021,255.0,4,63.75,48,30,17
Tale,2022,411.0,4,102.75,32,20,13
Tale,2023,345.0,4,86.25,52,29,14
Tale,2024,353.0,4,88.25,52,34,18
Teign (Lower),2021,597.0,8,74.625,50,32,20
Teign (Lower),2022,547.0,8,68.375,48,27,12
Teign (Lower),2023,885.0,8,110.625,66,36,25
Teign (Lower),2024,677.0,8,84.625,58,35,27
Torridge (Combe Lake to Lew),2021,317.0,4,79.25,47,19,8
Torridge (Combe Lake to Lew),2022,355.0,4,88.75,35,8,4
Torridge (Combe Lake to Lew),2023,471.0,4,117.75,53,28,11
Torridge (Combe Lake to Lew),2024,360.0,4,90.0,45,18,9
Torridge (Lew to Estuary),2021,431.0,9,47.888888888888886,47,19,8
Torridge (Lew to Estuary),2022,420.0,9,46.666666666666664,35,8,4
Torridge (Lew to Estuary),2023,415.0,9,46.111111111111114,53,28,11
Torridge (Lew to Estuary),2024,438.0,9,48.666666666666664,45,18,9
Walkham,2021,308.0,5,61.6,61,33,22
Walkham,2022,337.0,5,67.4,16,12,7
Walkham,2023,390.0,5,78.0,56,35,19
Walkham,2024,427.0,5,85.4,35,23,13
Wray Brook,2021,325.0,9,36.111111111111114,38,24,18
Wray Brook,2022,270.0,9,30.0,40,21,11
Wray Brook,2023,523.0,9,58.111111111111114,50,27,10
Wray Brook,2024,607.0,9,67.44444444444444,51,29,20
