Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England E and NE
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1836   43.7   56.1   91.2   48.0    9.6   71.1   82.1   45.5   71.2   79.7  122.5   55.7     ---   148.9   198.7   273.5   776.5
1837   74.3   61.6   37.9   58.3   29.5   49.8   92.2   59.8   49.5   60.0   48.2   96.0   191.6   125.7   201.8   157.8   717.1
1838   42.9   40.6   49.6   46.9   75.3   85.1   72.1   73.8   67.5   65.2   67.6   28.4   179.6   171.8   231.0   200.4   715.1
1839   42.9   37.8   76.4   20.6   17.0  110.9  114.0   81.4   92.0   77.1  102.5   66.4   109.1   114.0   306.3   271.6   839.0
1840   73.7   45.6   15.4   15.4   79.3   52.8   91.2   57.3   77.2   46.7   94.3   25.9   185.7   110.1   201.3   218.2   674.8
1841   54.0   41.0   43.6   36.0   56.1   60.7   89.6   82.5   82.6  132.8   78.2   62.3   120.9   135.8   232.9   293.6   819.6
1842   66.4   30.2   60.2   14.5   53.6   39.0   71.6   40.6   70.3   40.3   79.2   24.4   158.9   128.3   151.2   189.7   590.2
1843   36.0   65.4   23.4   72.6   93.9   62.3   77.3   67.8   15.7  104.7   68.4   11.1   125.8   189.9   207.3   188.9   698.6
1844   47.1   53.9   57.0   14.9   10.2   53.3   75.9   58.8   59.1   46.7   65.9   15.5   112.2    82.2   188.0   171.7   558.3
1845   36.7   27.9   57.8   46.9   71.7   80.3   77.0  145.4   56.4   99.0   45.2   82.7    80.1   176.4   302.6   200.7   827.0
1846   69.9   22.4   52.3  122.0   42.7   54.5   96.9   74.8   40.3  131.6   53.0   65.9   175.0   217.1   226.2   224.9   826.4
1847   43.5   35.2   31.5   47.2  122.3   62.5   28.4   40.3   36.5   80.6   66.5  110.7   144.6   201.0   131.2   183.6   705.1
1848   36.6  119.4  103.9   50.8   25.1  136.8   71.5   88.1   83.2  138.4   50.0   54.0   266.7   179.8   296.5   271.6   957.8
1849   74.4   22.1   34.6   82.8   59.5   39.0   79.9   63.4   75.8   90.6   53.1   92.0   150.5   177.0   182.3   219.5   767.3
1850   66.1   49.3   17.9   57.0   43.2   41.3   96.0   48.5   44.4   74.7   66.3   28.3   207.5   118.2   185.9   185.4   633.2
1851   72.6   29.5   75.4   50.4   27.7   75.3   89.7   64.5   63.9   47.2   35.9   25.5   130.4   153.5   229.5   147.0   657.7
1852   88.3   44.6   14.0   14.2   44.6   94.3   66.1   92.9  117.4   97.6  133.0  113.0   158.4    72.9   253.3   348.0   920.1
1853   77.4   75.3   39.6   40.9   30.9   56.6   86.5   47.5   55.4   89.0   41.7   50.4   265.7   111.4   190.6   186.0   691.1
1854   80.2   23.1   19.3   15.6   62.7   71.7   62.7   56.8   25.9   52.8   88.3   63.1   153.7    97.6   191.2   167.0   622.2
1855   25.1   59.0   47.3   17.4   39.4   74.2   97.0   73.5   12.0  115.2   55.6   42.4   147.1   104.1   244.8   182.8   658.0
1856   64.5   45.7    8.3   65.1   89.6   59.6   52.2  103.6  101.8   50.2   40.2   85.3   152.6   163.0   215.4   192.2   766.0
1857   74.4   25.6   60.6   65.7   31.7   58.0   55.1  131.3   78.0   49.1   51.6   18.0   185.4   158.0   244.5   178.6   699.1
1858   20.2   16.1   29.4   34.0   52.4   39.2   82.4   74.9   69.4   84.3   52.0   53.3    54.3   115.8   196.4   205.6   607.5
1859   37.7   36.9   53.7   72.1   15.3   59.3   59.1   66.4   81.0   72.6   62.2   70.8   128.0   141.1   184.9   215.8   687.2
