Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England SW and S Wales
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1836  105.8   59.5  150.5   82.9    9.8   81.4   95.5   44.8  110.6  139.4  209.1  113.2     ---   243.2   221.7   459.1  1202.5
1837  101.0  125.7   33.2   50.0   36.1   55.3   70.3   99.8   84.1  111.9  106.4   97.7   339.8   119.3   225.4   302.4   971.5
1838   39.1  110.0   62.5   62.7   86.3  114.3   61.4   74.4   53.9  115.5  213.3  102.4   246.8   211.6   250.1   382.7  1095.8
1839   85.0   76.5   82.1   60.4   38.1  139.0  186.3   91.0  161.4  149.5  180.8  138.8   263.9   180.6   416.3   491.7  1389.0
1840  142.1   97.0    4.2   29.4   71.5   53.1   77.4   70.6   89.2   59.2  212.9   24.9   377.9   105.1   201.1   361.3   931.4
1841   95.3   75.4  104.6   69.9   89.2   73.7   78.0  127.2  203.1  158.1  189.5  162.1   195.6   263.7   278.9   550.7  1426.2
1842  110.1   76.8  122.1   12.9   65.1   65.5   74.3   72.0   97.2   66.2  266.6   96.4   349.0   200.1   211.8   430.0  1125.1
1843  122.0   81.4   50.2  114.3  114.2  110.3   59.4  105.5   23.7  196.3  130.9   35.6   299.8   278.7   275.2   350.9  1143.8
1844   84.4  113.3  104.4   24.7    3.3   39.1   57.8  105.6   57.7  130.2  125.1   42.2   233.3   132.4   202.6   313.0   887.8
1845  118.5   57.2   37.6   63.5   42.0   83.1   90.2  114.0  119.6   56.3  138.2  123.6   217.8   143.1   287.2   314.1  1043.6
1846  143.1   55.1   84.5  100.7   66.8   61.9  122.2  103.8   65.6  162.3  101.2   52.1   321.7   252.1   287.8   329.1  1119.2
1847   96.1   64.9   89.7   67.4   88.7   69.8   57.6   60.3   77.3  199.7   90.4  172.9   213.0   245.8   187.6   367.4  1134.8
1848   72.7  155.0  110.8  113.3   41.3  129.3   95.9  146.6  109.3  137.2   80.4  161.6   400.7   265.4   371.8   326.9  1353.4
1849  105.5   66.8   35.4   93.2   97.6   29.5   82.5   65.0  120.8  109.3   88.3  125.9   333.9   226.2   177.0   318.4  1019.9
1850   63.8   78.7   27.9  140.0   69.3   50.9   70.7   83.3   98.3   66.1  129.8  105.1   268.4   237.1   204.9   294.1   983.8
1851  222.7   51.1  149.4   53.9   43.8   71.8  110.4   74.5   28.3  115.0   60.4   64.1   378.9   247.1   256.7   203.7  1045.5
1852  212.8   78.0   23.3   40.5   75.3  145.7   57.8  179.4   95.3  149.1  303.4  197.2   354.9   139.1   382.8   547.9  1557.8
1853  134.8   64.5   46.0   81.1   57.5  110.9  118.3   95.4   75.0  139.0  100.0   53.4   396.6   184.5   324.6   313.9  1075.8
1854  133.4   42.2   29.1   12.4   87.2   77.2  104.8   49.7   45.9  107.5   73.2   85.0   229.0   128.8   231.7   226.6   847.6
1855   12.5   57.8   78.5   20.1   80.5  116.6  101.2   64.3   39.6  167.9   29.5   76.8   155.2   179.0   282.1   236.9   845.1
1856  123.9   92.3   45.5  124.1   81.8   59.3   50.8  103.2  109.7  104.3   46.7  137.0   293.0   251.5   213.4   260.7  1078.8
1857  113.1   67.7  108.7  117.7   65.9   59.9   86.7   58.4   83.1  139.4   57.9   54.4   317.8   292.3   205.0   280.5  1013.0
1858   46.1   42.7   50.0  118.7   76.1   45.9   80.2   73.0  104.2  120.0   73.8  133.0   143.2   244.8   199.1   298.0   963.6
1859   91.6   73.9  102.5  101.6   40.9   50.2   65.1  124.5  161.9  129.0  130.1  134.5   298.5   245.1   239.8   421.1  1206.0
1860  160.0   51.4  104.7   58.6  103.9  211.2   70.3  203.1   87.5  103.6   99.6  149.5   345.9   267.1   484.6   290.7  1403.3
1861   47.3  108.7  106.7   22.0   38.9   92.7  153.4   79.9  109.7   80.2  168.9   93.8   305.5   167.6   326.0   358.8  1102.2
1862  111.4   32.4  133.7   97.4   87.6  103.9   93.5   82.2  104.5  185.0   50.8  110.8   237.6   318.8   279.7   340.3  1193.3
1863  136.4   41.5   57.1   48.9   55.1  123.8   34.5  119.4  144.4  178.6  113.4   80.1   288.6   161.1   277.7   436.4  1133.1
1864   84.5   57.6   81.1   39.3   37.5   62.8   32.7   47.2  123.7   75.7  123.1   90.5   222.1   157.8   142.7   322.5   855.6
1865  139.9  107.1   62.5   30.1  104.7   46.7   92.2  149.5    7.4  191.9  147.9  107.1   337.6   197.2   288.4   347.2  1186.9
1866  183.6  135.4  104.8   57.4   45.8   81.2   49.2  114.0  246.2   69.2   93.1  120.7   426.1   208.0   244.3   408.4  1300.5
1867  165.2   98.3  124.3  110.9   95.3   30.7  114.9   52.5   74.6  158.5   38.0   81.2   384.3   330.6   198.2   271.1  1144.6
1868  146.3   69.1   91.6   78.9   56.0   19.1   28.0  137.1  119.1  124.7   97.2  250.6   296.6   226.5   184.3   340.9  1217.7
1869  174.5  132.7   61.6   51.0  137.1   21.6   29.7   37.3  176.0   86.6  101.2  152.7   557.8   249.6    88.6   363.9  1162.1
1870   91.6   98.4   68.7   16.5   60.5   17.7   47.6   62.9   62.6  206.4  113.9   69.9   342.8   145.7   128.2   382.9   916.8
1871  108.0   81.2   60.3  133.3   19.5   68.0  151.9   64.3  159.1  149.1   44.1   97.1   259.2   213.0   284.2   352.3  1135.8
1872  222.1  153.8  118.5   79.7   60.5  126.8  120.6   74.8  121.0  190.4  206.1  207.1   473.1   258.6   322.2   517.6  1681.5
1873  186.0   69.6  112.2   26.2   60.2   54.2  100.7  144.2   81.5  104.4   99.0   38.7   462.8   198.6   299.0   284.9  1076.9
1874  138.2  100.8   61.6   66.8   25.4   45.5   54.0  133.7  162.8  157.1  101.4  146.3   277.6   153.8   233.1   421.3  1193.5
1875  194.9   63.5   44.7   59.2   80.1  103.6  135.2  100.1  132.8  199.8  182.9   60.9   404.7   184.0   338.8   515.5  1357.5
1876   61.7  137.8  123.9   94.1   11.7   50.0   45.8  123.4  178.5  133.6  138.0  261.6   260.3   229.7   219.2   450.1  1360.1
1877  208.8   92.6   87.9  115.7   99.6   60.7  126.1  158.1   87.0  116.2  218.9   93.2   562.9   303.3   344.9   422.1  1464.8
1878   78.3   68.0   57.5   94.9  149.4   91.3   56.5  168.9   87.5  162.8  119.3   93.5   239.6   301.8   316.6   369.6  1227.9
1879  117.9  146.7   43.0   74.8   81.0  190.0  125.1  192.6  124.7   53.1   20.6   58.4   358.1   198.8   507.7   198.4  1227.7
1880   26.6  133.0   64.4   68.3   45.4   76.0  158.6   25.8  107.5  167.2  128.7  161.6   217.9   178.1   260.4   403.4  1163.2
