Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Midlands
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1836   61.1   57.0  103.7   59.2   14.7   60.1   69.6   44.0   63.6   77.2  131.4   59.4     ---   177.6   173.6   272.2   801.0
1837   89.5   82.7   27.6   46.3   31.2   50.9   63.1   87.3   57.9   71.9   67.7   72.9   231.6   105.1   201.3   197.4   748.9
1838   22.7   56.3   41.9   46.7   65.7   90.4   65.3   63.4   59.2   69.9   94.4   39.4   151.9   154.4   219.2   223.6   715.5
1839   45.1   47.1   58.9   37.3   20.0  121.0  127.2   74.7  102.5   75.4  118.4   64.8   131.6   116.2   322.9   296.2   892.3
1840   85.7   55.1    7.0   19.1   75.4   50.4   74.0   63.9   70.9   36.6  121.9   15.9   205.6   101.5   188.4   229.3   675.9
1841   59.9   37.1   49.9   41.2   64.0   74.0   78.8   95.8  113.0  110.4   91.7   78.4   112.9   155.0   248.6   315.1   894.2
1842   51.2   35.3   79.3   15.9   62.2   55.6   75.2   47.1   76.7   35.1  132.4   38.1   164.9   157.3   177.9   244.2   704.0
1843   59.3   66.2   27.4   71.7  104.3   69.8   67.2   86.6   21.1  129.6   77.2   13.1   163.6   203.4   223.5   228.0   793.4
1844   42.1   65.0   70.3   11.7    7.6   30.9   65.7   69.6   62.2   65.5   79.4   10.6   120.2    89.6   166.2   207.1   580.6
1845   49.3   23.3   46.0   43.6   59.7   75.6   84.1  110.4   64.9   58.9   58.0   95.5    83.2   149.3   270.0   181.7   769.2
1846   79.5   27.6   47.4  113.4   35.8   47.2   71.6  101.1   41.8  122.8   39.3   26.2   202.6   196.6   220.0   203.9   753.7
1847   53.3   39.8   34.4   43.9   90.7   59.4   27.0   44.0   60.1   95.8   54.5  103.1   119.2   169.1   130.4   210.4   706.0
1848   34.5  102.4   93.7   70.8   22.9  123.5   69.0  114.9  101.5  122.6   37.0   73.3   240.0   187.4   307.4   261.1   966.1
1849   70.9   36.2   22.2   72.0   64.4   39.4   74.6   46.9  100.1   80.4   45.4   84.4   180.4   158.6   160.9   225.9   736.9
1850   44.1   44.1   15.6   69.3   50.9   32.9   91.8   52.0   46.1   48.8   68.5   48.6   172.6   135.9   176.6   163.4   612.7
1851   79.9   23.7   81.4   36.4   34.9   73.3   82.2   55.1   28.8   64.1   25.3   34.9   152.2   152.7   210.6   118.2   620.0
1852  108.9   52.8   12.0   11.8   39.2  111.9   70.3  110.0   90.5   84.6  173.5   88.3   196.6    63.0   292.2   348.6   953.8
1853   73.4   28.2   33.1   51.0   44.3  102.8   89.6   67.9   58.0   93.0   52.5   25.7   190.0   128.5   260.4   203.5   719.7
1854   65.5   27.5   18.0   14.3   58.1   45.2   76.8   40.3   30.5   46.0   53.0   64.3   118.8    90.4   162.4   129.6   539.7
1855   12.0   34.5   46.2   18.7   46.4   68.1  121.4   47.2   30.0  128.3   24.9   27.0   110.8   111.3   236.7   183.1   604.6
1856   73.5   52.4   22.5   62.7   76.5   49.1   46.7  109.7   81.1   66.3   32.1   65.8   152.8   161.6   205.5   179.6   738.3
1857   69.6   29.7   52.1   64.0   41.4   66.2   61.5  117.3   72.4   68.1   41.9   20.3   165.1   157.5   245.0   182.4   704.4
1858   19.3   21.7   27.7   80.2   58.4   52.3   48.8   68.2   66.8   86.6   25.6   60.6    61.3   166.3   169.3   178.9   616.2
1859   37.4   44.5   62.3   73.1   29.1   64.3   55.6   89.1   83.7   75.7   71.1   66.0   142.5   164.6   209.0   230.5   751.9
1860   88.6   28.5   65.7   29.4   79.4  136.9   49.2  128.0   69.8   63.3   68.0   75.5   183.2   174.6   314.0   201.1   882.2
1861   22.1   72.3   87.4   29.1   27.9   68.3  113.2   31.2   70.5   39.0   83.8   45.8   169.9   144.3   212.7   193.2   690.4
1862   59.5   17.0   99.3   59.7   93.9   67.4   60.2   57.3   85.0   97.5   25.4   50.6   122.3   252.8   184.9   207.9   772.7
1863   91.6   20.0   23.8   34.0   29.0  102.7   28.3   76.0   85.4   96.8   64.5   42.1   162.2    86.8   207.0   246.7   694.2
1864   32.4   47.2   69.9   38.2   50.1   43.1   19.3   28.5   68.8   60.5   69.7   51.0   121.7   158.2    90.9   199.1   578.8
1865   67.7   58.4   30.1   27.0   68.9   44.7   75.9  109.2    7.5  134.8   72.4   37.3   177.1   125.9   229.8   214.8   733.9
1866   79.9   80.3   47.2   36.6   35.5   86.5   72.2  101.5  149.3   63.2   74.8   67.1   197.5   119.3   260.2   287.3   894.1
1867   84.6   54.6   70.7   80.6   62.7   46.4   79.3   62.1   59.8   73.9   26.5   54.2   206.3   214.0   187.8   160.3   755.5
1868   72.4   53.5   62.9   47.9   34.4   11.7   14.5   97.9   75.6   74.4   47.8  168.1   180.1   145.2   124.2   197.7   761.2
1869   94.2   77.6   44.3   44.9  117.4   32.6   17.3   39.4  121.2   47.8   67.0  108.2   339.9   206.6    89.3   236.0   811.8
1870   51.8   49.4   46.4   22.0   31.2   28.4   32.1   47.8   37.6  135.6   56.5   62.8   209.5    99.7   108.3   229.7   601.7
1871   38.2   49.6   33.9   78.7   35.7   89.1  105.0   36.0  137.3   66.7   26.6   44.0   150.6   148.3   230.0   230.6   740.7
1872  116.6   74.7   61.9   78.3   53.6  112.1  119.9   80.1   82.1  121.2  114.4  105.0   235.3   193.9   312.1   317.6  1119.9
1873   79.3   29.5   67.8   20.7   60.0   64.6   68.8   78.2   50.7   68.4   56.3   18.6   213.8   148.5   211.6   175.4   662.9
1874   64.3   52.8   39.3   40.0   38.1   22.2   37.0   73.8   86.2   80.4   76.9   63.8   135.7   117.4   133.0   243.5   674.8
1875   93.5   37.5   22.9   34.2   52.3   83.6  145.7   65.2   84.2  150.3  113.4   36.2   194.8   109.4   294.6   347.9   919.1
1876   48.7   78.1   86.4   74.7   18.5   55.7   41.0   64.5  125.4   60.2   96.3  157.8   163.0   179.6   161.2   281.9   907.4
1877  113.7   61.1   61.9   73.7   70.0   39.8   93.2  117.5   67.5   67.4   93.6   60.7   332.5   205.6   250.5   228.5   920.1
